id,question,answer,tags
141,"Я правильно понимаю, что на последней версии 0.8.4 с фиксом для ST2, решена только проблема со связью, но функционал по работе с панелью ещё не допилен полностью? Вчера попробовал переключить панель в режим мастера, горелка всё так же не адекватно себя ведёт.","вроде допилен, но есть нюансы... типа того, что панель надо подключать после того, как подключили к котлу контроллер",wiring;from_chat
142,"у себя я перепишу, но сам факт остался, какой то обрыв связи проявляется. и склоняюсь к тому что это именно потеря связи чем ошибка котла.","eще может быть sensorState.setValue(""OpenTherm: потеря связи""); Такое получается, когда десять раз подряд получается таймаут по опентерму. Это секунд 5. Может котел сам уходит в какую-нибудь самодиагностику раз в час на какое-то время?",opentherm;diagnostics;from_chat
143,"Видно, что когда душится синий, то обратка жёлтого теплее - т.е. в нее уходит больше тепла и он быстрее прогревается","Если термостат будет перекрывать прогретый контур, то холодный контур будет получать больше. Поток теплоносителя уменьшится через котёл, но через холодный контур точно не уменьшится, а возрастёт. То есть на холодном контуре будет больше тепла оставаться.",general;from_chat
144,"я так понял что предполагается проксирование, т.е. панель думает что управляет котлом напрямую, а контроллер просто принимая данные от панели правит свои установки и управляет котлом","есть варианты, например у Бакси, если я Евгения правильно понял, панель управляет, но почти не запрашивает данных (состояния, температуры, и пр), тоесть в MQTT почти нечего постить",mqtt;baxi;from_chat
145,"Под входным клапаном подразумевается 3х ходовой смесительный? Есть фото или ссылка, чтобы взглянуть про какой входной клапан на который штатно встанет крепление термоголовки?",Обычный клапан под термостат m30 встроен в коллектор на трубе подачи у термотеха. И точка для термодаичика после смесителя и насоса. Можно поставить обычный термостат с выносным датчиком,sensors;from_chat
146,"извините немного туповат, у меня есть smart therm 32, на esp32 плата собрана, вот датчик что выше допустим куплю, куда его провод конкретно можно впаять впихать? к какому то контакту на плате?","На плату ST я бы хорошо подумал, перед тем как добавлять что-то. Тут лучше с <USER> консультироваться. Я имел в виду отдельную есп подходящую и к ней уже датчики.",sensors;wiring;hardware;from_chat
147,"Возможна передача по MQTT температур t1 и t2 с единицами измерения? А то они на графиках отдельно из-за того, что без единиц измерения.","да, можно вынуть размерную из бойлер ПИД, t1 там есть. Можно сделать 2 новых температуры и добавить механизм их вычисления. Но может лучше без рукоблудства, поменять T1 и T2 добавив туда градусы при передаче в MQTT.",mqtt;settings;hot_water;from_chat
148,"У меня слишком примитивный котел, у него даже дисплея нету. Я хотел как-то внешним способом это настроить, через OpenTherm.","Инструкцию все же посмотрите. St котлу задоет вкл/выкл и уставку, а котел по своему разумению вкл/выкл горелку. В первую очередь настройкикотла, либо с настройками ПИДа играться. Если есть opentherm то не такой уж примитивный.",opentherm;settings;from_chat
149,Здравствуйте если подключить ваш контроллер к котлу viessman vitodens 100 при ошибке отключение газа можно ли перезагрузить котел удаленно,Протокол не предусматривает команд перезагрузки котла. Но можно прикрутить к SmartTherm реле. И при необходимости рубануть питание котла. ☠️ Вопрос только: сбросит ли котел ошибку по газу при включении....,wiring;power;diagnostics;from_chat
150,Комнатная это которая в доме (комната) т.е. датчик один. Так понимаю в зависимости от показания датчика температуры надо выставлять как то температуру носителя в котле.,Это 2 разных вида управления котлом: вкл/выкл и изменение температуры теплоносителя. Простой комнатный термостат - это просто вкл/выкл. Температуру в комнате он держать будет,sensors;from_chat
151,"<USER> запускал программу smarttest уже несколько раз, каждый раз заканчивается на BLOR Test: W OTid 4 Command:Sts SUCCESS (1) Cmd responce code: hb 0001 lb 0000 Command failed где ещё посмотреть причину что котел не распознаётся?",что так заканчивается - это нормально. Распознавание котла - это R OTid 3 SConfigSMemberIDcode:Sts SUCCESS (1),general;from_chat
152,"Встречный вопрос, уличный датчик для котла нормальный кто-нибудь может подсказать?","Лично я протянул на улицу обычный ds18b20, но он не к котлу подключается. А для котла Baxi ampera plus в комплекте были два проводных датчика для комнаты и улицы. Ну и для БКН. Вот ими я не пользовался. Потестировал, но провода наращивать не стал, толку нет.",sensors;baxi;wiring;from_chat
153,"А штатная выносная панель Baxi Luna 3 Comfort 310 Fi, будет работать как Slave, если что-то случится с самим SmartTherm 2? Например, он зависнет или у него не будет питания?","Котел всегда slave. SmartTherm является мастером для котла и слейвом для панели. Панель только мастер. Если между панелью и котлом сдохнет SmartTherm, связи не будет.",baxi;power;from_chat
154,"Так как управлять режимом зима/лето? Будерус если что. Вся проблема в том, что там opentherm и сухой контакт это одно и тоже. До этого стояло реле, которое отключало/включало котел по уличной темп",На будерусе достаточно просто отключить контур отопления. Никаких дополнительных манипуляций для перевода в летний режим делать не требуется,opentherm;safety;from_chat
155,"а кто как меряет температуру фактическую теплоносителя и ГВС? у смарттерма всего два щупа — я их: один на улицу, второй на подачу теплоносителя в отопление повесил. а вот на ГВС — чем бы снять?",Самое логичное - купить датчик давления и в систему ГВС его поставить. Он будет и давление контролировать (мало ли чего) и температуру носителя,sensors;hot_water;pressure;from_chat
156,"термостат ничего не говорит. Он или замыкает цепь или размыкает. Если цепь замкнута - котел работает как обычно, если разомкнута - просто не может включить отопление","Если цепь разомкнута по данным термостата, то ОТ по своим данным его может включить. Тот же Baxi по инструкции и требует разомкнуть перемычку для своего функционирования.",baxi;from_chat
157,И будет ли котел через датчики температуры как то подстраивать свою работу?,"через реле - аналогично другим термостатам на сухом контакте, можно только замыкать/размыкать контакт и измерять температуру в помещении. В крайнем случае измерять еще температуру на улице или получать ее через интернет. Никаких данных по котлу узнать нельзя",sensors;from_chat
158,И? Опять закрытый протокол и производитель железа… Я пошел по другому пути - производитель котла делает WiFi пульт и дает рулить котлом бесплатно… Даже котел был такой SmartTok со встроенным таким пультом… Пусть так и будет… 😉,"так не получится. И к котлу не подключить, и устройства Opentherm работают парой по принципу мастер-слейв",opentherm;wifi;wiring;from_chat
159,"Если пид не включать, то логикой отопления управляет котел, а контроллер как ""крутилка"" температуры. Мне это на первом этапе и нужно. Вот и возник вопрос - откуда он температуру помещения подхватит.","Видно, что нет датчика внешней температуры. Тогда было бы Text = ... и как этот датчик температуры в помещении увидеть....",sensors;settings;from_chat
160,"А если у меня уставка сделана на 24 градуса, а текущая температура climate.boiler_pid (в крутилке термостата) показывает 23.7 градуса и в комнате постепенно холодает, то при какой температуре снова запустится котёл?",надо смотреть на выдачу ПИДа. И на cmdCH - когда оно включено котел включает горелку по своему усмотрению,settings;from_chat
161,А что в данном контексте является процентами PID? Повышение температуры теплоносителя на столько то процентов? Или ...?,"Я передаю число которое рассчитал PID прямо в котел. Как заданную температуру в контуре отопления. Если PID = 45 , то это для котла значит греть контур отопления с температурой = 45 градусов цельсия",settings;from_chat
162,То есть я правильно понимаю я выставляют на морде максимум например 80 настраивают пид на OT и котёл уже управляеться по пид от OT ?,"котел будет ориентироваться на ту температуру, которую ему предаст контроллер. А откуда ее берет контроллер - не важно. Если в нем включен PID и он работает, значит будет работать PID.",opentherm;settings;from_chat
163,"Вот интересный момент с температурой в помещении. Должен же быть датчик темп помещения, а у меня его нет. В таком виде работать не будет?","Я подключил на шлейф, который выходит из контроллера котла . это специальный выход для установки внешнего датчика температуры. А уличный датчик подключен к контроллеру SmartTerm",sensors;wiring;from_chat
164,в 29 скорее будет температура как раз БКН а в 31 ГВС - Будерусы странные :)),ID29 - текущая температура в бойлере солнечного коллектора ID30 - текущая температура в контуре солнечного коллектора ID31 - текущая температура во втором контуре отопления (котлы с БКН) ID32 - текущая температура во втором контуре ГВС 😂,hot_water;from_chat
165,"2E это недостаточное давление наполнения отопительной системы - так в инструкции написано но вот сейчас ошибка пришла по OT ""OEMDcode cf"", а на дисплее котла никаких ошибок нет","ну может оно было краткровременное, котел не упал в ошибку, В Oemcode записалось, а Fault в другое время прочиталось и там все по нулям",opentherm;pressure;diagnostics;from_chat
166,"Тестирую вот, взял устройство на работу, на рабочем роутере попробую. Ну если даже предположить что в роутере проблема, то почему 8266 плата работает в домашней сети...?","есть одно отличие 8266 от esp32 по части вайфая. Если роутер древний и на нем выставлена безопасность просто wpa, а не wpa2, то esp32 глючит",wifi;safety;hardware;from_chat
167,"о каком термостате настенном речь? у меня котел вообще не ориентируется на температуру in/out, я говорю ему грей на 60 - он греет на 60 и поддерживает","Если речь про панель на самом котле, то если при подключении контроллера ОТ кнопки блокируются, то сделать с этим ничего нельзя. Производитель котла так решил.",wiring;from_chat
168,"Здравствуйте вопрос такой есть котел протерм пантера на плате есть 3 разъема под термостаты , подключили на Клему 24 вольта , разъем opentherm , мог пострадать smarttherm ?",пока только T indoor/outdoor и крутилки для горячей воды и отопление без пида. Обещанный пример автоматизации для крутилок так и не родил,opentherm;wiring;settings;hot_water;from_chat
169,"Подскажите пожалуйста, это кейс у человека с данным девайсом? Котёл работает по одному датчику температуры, который где то установлен в доме?","Судя по всему, именно так. Подробностей не знаю. Можете самостоятельно у него уточнить. Но прошивка у него точно LiveControl с другим алгоритмом ПИД. Который работает.",sensors;firmware;settings;from_chat
170,"Да я внимательно смотрел , большой разем это openTherm, поменьше это slave он не подключен , так как не нашел куда его подключать","я так понимаю, что нет смысла спрашивать, зачем тогда купили именно ST2.. Ошибки нет, непонятно почему для неподключенного так пишет... вроде должно писать, что OT2 не подключен",opentherm;wiring;diagnostics;from_chat
171,"вот менял, а он при «задать» возвращал на страницу smarttherm и при входе в настойки там опять 0/0 было, но уже вижу что mqtt правильно передает","там же подсказка есть, если брать из MQTT, то ставить 4 и как оно в HA будет называться тоже написано. Примеры автоматизации - на гитхабе лежат, в папке /ha",mqtt;from_chat
172,"ну объясните тогда. Я только котел купил baxi ampera plus. Есть необходимость в управлении уделенно, или подключению к какой-то общей системе умного дома. Что посоветуете?",1. с амперой и zотой есть непонятки по обмену. Главные над программистами того и другого обещали помочь. но ушли в несознанку.,baxi;wiring;from_chat
173,"😳 зачем тогда opentherm, интересное применение. А вкл/выкл это smartther регулирует или HA?","Логика в HA. Вкл-выкл и смена температуры - у него опентерм нужен для смены температуры, мониторинга, ну и поскольку он подключен и сухой контакт для термостата не активен - то и вкл/выкл через opentherm.",opentherm;mqtt;wiring;safety;from_chat
174,И котёл не должен пытаться нагнать 80 теплоноситель а раз пид то от температуры на улице и внутри регулировать?,"котел будет ориентироваться на ту температуру, которую ему предаст контроллер. А откуда ее берет контроллер - не важно. Если в нем включен PID и он работает, значит будет работать PID.",settings;from_chat
175,На плате есть вход под аналоговый датчик. Возможно ли на него повесить обычный термостат с сухим контактом ? Есть в прошивке какая то реализация по аналоговому входу ?,"Подскажите, можно ли smarttherm настроить только на считывание параметров котла и ошибок, но чтобы при этом ПЗА котла работала?",sensors;firmware;from_chat
176,на 60% я бы хотел иметь хотя бы полную информацию о котле в режиме чтения. раз режим записи параметров в котел по неясным причинам не работает. ну и как следствие ни о каком пид тоже речи не идет,если у вас котел реагирует на уставку температуры в ручном режиме - значит запись параметров идет,settings;diagnostics;from_chat
177,"Ребят, в контроллер же от юсб питается? Нельзя его подпитать от котла как-то? Хочу прям в корпусе котла поставить, чтобы никто не видел","В котле скорее всего 5 вольт есть. Но OpenTherm штатный интерфейс, с необходимой защитой. А тут какой то «левый дивайс» прямо к плате питанием присоединять.",opentherm;power;from_chat
178,Хотя бы видеть температуру смогу?,"через реле - аналогично другим термостатам на сухом контакте, можно только замыкать/размыкать контакт и измерять температуру в помещении. В крайнем случае измерять еще температуру на улице или получать ее через интернет. Никаких данных по котлу узнать нельзя",general;from_chat
179,"Всем доброго дня! Подскажите пожалуйста, контроллер только с газовыми котлами работает? С электро нет?","Если на котле электрическом есть разъем шины opentherm то, я так понимаю, контроллеру без разницы тип источника тепла, он принимает, обрабатывает и передает приходящие по этой шине данные.",opentherm;from_chat
180,"Если при подключении к контроллеру ""напрямую"" выбираю этот пункт - подключение отличное без проблемное как через веб интерфейс так и через приложение. Но выхода в интернет нет.","ну так логично. Контроллер поднимает свою точку доступа, к интернету он доступа не имеет, вы подключаетесь к нему",wiring;from_chat
181,"Не понимаю какой выбрать, с датчиками или без. Для чего они, как то в автоматизациях используются или просто для информации? Датчики на улице, в комнатах есть, все закинуты в HA.","Когда контроллер с датчиками, котёл будет работать сам, не требуя ни Wi-Fi ни НА с zigbee. Это всяко надёжнее.",wifi;mqtt;sensors;from_chat
182,"Если устройства проверялись, то может пользователи подключают слабый блок питания. Сколько минимальная мощность должна быть? В инструкции только про максимальную сказано","да там мощности никакие. esp32 потребляет максимум дай бог памяти 300-400 ма в режиме передачи, при напряжении 3.3 в",wiring;power;hardware;from_chat
183,"Я так и не понял, для удаленного управления обязательно нужно облако? В клиенте на андроид я не нашел настроек. А для веб управления тоже нужно облако?","в клиенте андроида в настройках есть контроллер и есть сервер. Настройки сервера менять не надо, если вы не поднимаете свой сервер.",settings;from_chat
184,Правильно понимаю если один датчик температуры указан внутренний то ПЗА режим ее используется ? ( выключателя отдельно не вижу),"есть два ПЗА. Тот, который в PID'е и тот, который OTC (ID0:HB3). Первому без разницы, какой источник для температуры на улице. Что делает второй - неясно",sensors;settings;from_chat
185,"То есть, безо всяких PID просто включать и выключать котел в режиме термостата?","Ну да. В межсезонье, кстати, это само собой получается и с ПИДом. Как заданная дорастает до 45 градусов, я котел включаю. Падает ниже 31 - отключаю. Поначалу пару раз за день включается, потом чаще.",settings;from_chat
186,Подскажите а для работы pid достаточно одного датчика температуры помещения? Или уличный тоже нужен?,"С уличным должно быть более точное поддержание температуры. В качестве уличного можно использовать данные из инторнетов в Home Assistant, пример автоматизации лежит на гитхабе",mqtt;sensors;settings;from_chat
187,"У меня нет пока датчика,какой надо взять? И куда что паять можно подробней плиз?","если аналоговый - то на аналоговый порт заводить, причем аналоговый должен быть на 3.3 В, если цифровой, то смотреть по ногам - на какую ногу можно завести. Какой датчик вот тут обсуждали <URL>",sensors;from_chat
188,"<USER> подскажи, пожалуйста, в одноконтурном котле смогу менять режимы работы отопление и нагрев воды? И температуру для этих режимов? В котле opentherm есть.",Одноконтурный - значит есть только контур отопления. Для горячей воды там колхозят бойлер косвенного нагрева,opentherm;hot_water;from_chat
189,"я поэтому подумал может до заводских сброс сделать, чтобы id все новые создались и ha создал новое устройство. но что-то не нашел пока как именно это сделать","оно само создается, если контроллер отресетить - пойдет процесс автодискавери или как он там точно называется",mqtt;from_chat
190,"Хорошо, попробую прошиться отладосючно программой и лог потом выложить. Или это пока не актуально? Котёл immergas",актуально. после прошивки вебинтрефейс не будет появлятся пока 500 пакетов Опентерма не пролетит. Это минуты 4. Потом можно отратно прошить без отладки,firmware;from_chat
191,"Так, народ, для удаленного управления таки нужны сторонние решения (кинетик, тейлскейл etc) или достаточно андроид клиента с гитхаба?","Для управления - достаточно. Но для мониторинга, погодо зависимой автоматики нужен home assistant, mqtt и кинетик для доступа извне",mqtt;from_chat
192,"Скажите, есть возможность сделать сервер на телефоне андроид?",Да. Но после перезагрузки телефона сервер придется руками стартовать. Посмотрите в сторону Perenio или МТС Прошиваете openwrt. И у вас всеядный zigbee |Bluetooth| WiFI роутер. С mqtt сервером на борту.,wifi;mqtt;from_chat
193,"Есть какая то прям пошаговая, условно не для мрфессионалов ?","Ты немного подожди, может сейчас кто опытный подтянется и выдаст прямую инструкцию 😅. Но я сам все настроил за пару часов. И не профессионал. Проспо пишешь в поисковике ha mqtt настройка и вперед",mqtt;settings;from_chat
194,"это задал, вопрос как через mqtt HA задавать? и в расписание можно ли? полагаю, через HA как раз?","там же подсказка есть, если брать из MQTT, то ставить 4 и как оно в HA будет называться тоже написано. Примеры автоматизации - на гитхабе лежат, в папке /ha",mqtt;from_chat
195,Короче лучше с этим контролером вручную работать через приложения что бы головняка не было?,"Это отдельная большая тема по ХА. Если быстро, то желательно отдельно железка, на котором Вы устанавливаете сервер home assistant и который будет работать 24/7",mqtt;from_chat
196,"Чтобы вот этот хоум-асистент, это надо прошивать контроллер? И как настроить где найти?","Это отдельная большая тема по ХА. Если быстро, то желательно отдельно железка, на котором Вы устанавливаете сервер home assistant и который будет работать 24/7",mqtt;from_chat
197,"Подскажите а для чего нужен ""аудио разъем для подключения аналогового сигнала"" у ESP32?","для сильно желающих измерять аналоговый сигнал. В следующей версии корпуса мы решили от него отказаться, хотя на плате останется посадочное место для разъема.",wiring;hardware;from_chat
198,"Можно ли как-то управлять котлом по MQTT, в какой топик что писать?","А есть возможность Home Assistance установить? Там контроллер встаёт сам с удобными управлялками. Т.е. оно так и происходит, через MQTT, но без разбирательств, что куда посылать.",mqtt;from_chat
199,Вот именно с этим (переключением на использование через домашнюю сеть) у меня и возникла проблема. Напрямую всё работает как часики.,"ну так логично. Контроллер поднимает свою точку доступа, к интернету он доступа не имеет, вы подключаетесь к нему",wiring;from_chat
200,Только тогда смысл от пульта?,"""Штатный"" пульт это скорее всего внешний термостат? Есть контроллеры opentherm с поддержкой внешнего термостата. В котёл подключается контроллер opentherm. В контроллер opentherm подключается внешний термостат",opentherm;wiring;from_chat
201,Не хочу провода. Почему плохо датчики температуры на ESP? Они не отваливаются и настроить раз в 10 секунд модель опрос их,"Хз, я за медь, мои загоны, ну и как уже писал <USER> - надежнее, WiFi отвалится, HA ляжет отопление будет работать.",wifi;mqtt;sensors;wiring;from_chat
202,А газ расход никак не получится снять/рассчитать?..,"а его нет ни в OpenTherm, ни счетчика газа в котлах нет... Была идея считать расход по модуляции (эффективная модуляция, средняя за час) , но Бакси подосрало со своей нулевой модуляцией",opentherm;baxi;from_chat
203,На какой дельте температур котел запустится?,"котел включает и выключает горелку по своим соображениям... у вас еще и обратку показывает как ноль... кроме того, обычно есть минимальное время от выключения до включения - обычно 3 минуты",general;from_chat
204,"Подскажите пожалуйста, нормально ли это когда котел греет горячую воду, путем нагрева теплоносителя аж до 90 градусов?","Если БКН, то у многих так. Котёл пытается максимально быстро нагреть бойлер. Поэтому врубает мощность на максимум.",hot_water;from_chat
205,id 14 это master ID? Или это 100% мощности разрешить?,"Нет, 14 - это id команды, передаваемой от контроллера в котел. Она задаёт максимально допустимую модуляцию горелки. Туда надо сотку отправить, ну или любое число по усмотрению.",general;from_chat
206,"То есть получается если цеплять вместо перемычки, то все заработает, и плюсом можно зацепить нормально закрытый контакт реле контроллера?",да. Но только проверить сначала все в ручном режиме... С реле народ тоже умудряется напутать,general;from_chat
207,"Slave интерфейс - это что такое, галочка в этом меню не убирается , физически это разем панели ?","у вас на контроллере написано OpenTherm на одном разъеме Котел, на другом - Панель. Вот эта панель и есть slave интерфейс OpenTherm",opentherm;from_chat
208,"Уточню на всякий, board - nodemcuv2, верно? не под рукой контроллер","хрень какая-то.... еще могу посоветовать удалить устройство OpenTherm и еще раз повторить установку. Больше навскидку сказать нечего, надо ручками повторять",opentherm;from_chat
209,"Я на Opentherm Gateway остановился, она поприятней и более функциональная как мне кажется","Всем привет. Читаю инструкцию по подключению. Подскажите, как зайти в описываемый Captive Portal? Зайти по IP устройства на 80 порт?",opentherm;wiring;from_chat
210,Чего уж там проблема. Это как смартфон к своему вайфай подключить. Выбрать сеть и набрать правильный пароль.,"ну так логично. Контроллер поднимает свою точку доступа, к интернету он доступа не имеет, вы подключаетесь к нему",wiring;from_chat
211,40% наверное останется (минимум что может отображаться) но при этом греть будет меньше если уменьшить ток катушки,"Либо съем тепла повышать 😉 Это скорость насоса, диаметр трубы, грязевик. Заданную ГВС уменьшить до 40...45.",hot_water;from_chat
212,а нельзя датчик DS прокинуть в бойлер и указать соответствующие настройки?,"нельзя. Там во-первых другой датчик, NTC какой-нибудь и с него в два разных места температуру не отдать... Только если два датчика рядом запихнуть",sensors;settings;hot_water;from_chat
213,Подскажите пожалуйста чем модель на esp8266 отличается от esp32?,"ESP32немного более функционален, но ESP8266 немного подешевле выходит. С точки зрения работы с приложением для SmartTherm - они идентичны по функционалу.",hardware;from_chat
214,"я так понимаю что и два контура включить надо, прежде чем отключать котел и подключать OT?",Да. Сначала разрешить оба контура на котле. Если есть такое управление. Потом оба контура разрешить командой opentherm/,opentherm;wiring;from_chat
215,как же так? котел умеет получать информацию о температуре БКН….,"нельзя. Там во-первых другой датчик, NTC какой-нибудь и с него в два разных места температуру не отдать... Только если два датчика рядом запихнуть",sensors;from_chat
216,Смотрю в смарт кот вы тоже админ. Здесь и там это одинаковые устройства?,Я не админ. Я написал прошивку которая не привязана к конкретной модели устройства. Работает даже на самодельных контроллерах opentherm,opentherm;firmware;from_chat
217,"может ли ESP 8266 не пропускать трафик из интернета, а только local host принимать?",а что говорит проверка доступности портов снаружи? И вообще не очень хорошо контроллер голой попой в интернеты выставлять?,general;from_chat
218,"ЕSP32 можно же вместо 8266 подключить, пины только подпоять соответствующие. Схем же одна?","Конечно можно сделать замену контроллера, но придётся колодку перепаивать на новое место. ESP32 меньше по размеру.",wiring;hardware;from_chat
219,Из какой папочки взять бинариник в итоге : st или st2?,"ну логично же - для st2 из папки st2. На самом деле можно из любой, в ST по сравнению с ST32 добавлено реле, в ST2 доабвлено реле и второй OpenTherm",opentherm;from_chat
220,"Парни вопрос, к smarttherm можно подключит СК от реле контроля напряжения вместо датчика температуры например?","Так писали уже. Пожертвовать одним датчиком температуры, подключить СК и допилить прошивку.",sensors;firmware;wiring;from_chat
221,а контроллер на запущенный котел подключается нормально? или через обесточивание?,Да. Сначала разрешить оба контура на котле. Если есть такое управление. Потом оба контура разрешить командой opentherm/,opentherm;wiring;from_chat
222,"Так, а как тогда управлять котлом в ручном режиме?",да обыкновенно. в крутилке Котел есть кнопка включить отопление и крутилка - какую температуру теплоносителя задать. Примерно так же на котле устроено,general;from_chat
223,"System uptime 39m 16h 5d Ах вот оно чо, почему думаю дырки на графике. Зы: тупанул, 5 дней же 🙈","контроллер в теплице, аптайм 29 дней, RSSI сейчас -75, весь график в дырках... WiFi statistics: <PHONE>",wifi;from_chat
224,А какая разница в вариантах esp32 и NodeMCU 8266?,"Внешне корпус одинаковый. Датчики температуры одни и те же присоединяются. Esp32 чуть более функционален, больше памяти в нем. А 8266 чуть дешевле.",sensors;hardware;from_chat
225,"Скажите, а ESP32 прошивать обязательно с зажатой клавишей? и какой?",Нет. Это было нужно на предыдущих вариантах ESP wroom 32. Сейчас сильно иногда после прошивки нужен ресет или выключение питания,firmware;power;hardware;from_chat
226,"еще вопрос один, там 2 датчика один в бойлер а второй куда?","в бойлер надо штатный датчик котла, эти датчики - температура в помещении и за бортом или еще как, если температуры будут браться из HA",mqtt;sensors;hot_water;from_chat
227,"что будет думать OT, когда фишку к которой он подключен замкнёт реле? :)",ничего не будет думать. это штатная ситуация же. они же и так втыкаются в одну фишку. опентерм допускает замыкание линии.,opentherm;wiring;from_chat
